N°,Couleur,inventaire,Format,Etagère,"valeur stock(€)",Région,Appellation,Domaine,Cuvée,Millésime,Date d'achat,Fournisseur,Qté,Prix unitaire (€),franc,"Prix total (€)",boire à partir de,apogée début,apogée fin,boire avant,Commentaires,Cote unitaire,Cote Totale
496,,1,0.5,J4,5,Portugal,Porto,Kopke,Colheita,1984,20090520,,2,4.5,,9,,,,,Duty free,,
522,B,1,,D2,5,Alsace,Alsace,Domaine Zindt Humbrecht,Gewurztraminer,2006,20090915,Métro,2,5.3,,11,,,,,,,
527,B doux,2,,B29,12,Bordeaux,Sauternes,Château Filhot,,2007,20090928,Super U,2,5.9,,12,,,,,,,
528,,1,,Bo5,2,Bordeaux,Côtes de Bourg,Château Guerry,,2005,20090928,Super U,12,1.8,,22,,,2010,,,,
534,B,1,,Bo3,10,Provence,Palette,Château Simone,,2005,20090928,Super U,1,10.0,,10,,,,,,,
535,B doux,6,0.67,J2,39,Bordeaux,Sauternes,Château Lafaurie-Peyraguet,,2006,20090929,E. Leclerc,6,6.5,,39,,,,,,,
536,,2,,J4,23,Portugal,Porto,Cintra,,1976,20091213,Enchères,2,11.7,,23,,,,,embouteillé par Cuzenier en 1996,,
537,,2,,J4,27,Portugal,Porto,Feist,,1966,20091213,Enchères,4,13.3,,53,,,,,embouteillé en 1992,,
538,B doux,9,,K16/K17,75,Afrique du Sud,Vin de Constance,Domaine Klein Constantia,Vin de Constance,2002,20100123,Enchères Chartres,14,8.3,,117,,,,,100% muscat de Frontignan,,
540,,4,,M3,20,Loire,Chinon,Domaine Bernard Baudry,"""Croix Boissée""",2007,20100306,au Domaine,6,4.9,,30,,2013,2025,,1b bue en sept 2021. Le plaisir est là. A boire,,
539,,5,,M3,16,Loire,Chinon,Domaine Bernard Baudry,"""Les Grézeaux""",2008,20100306,au Domaine,6,3.3,,20,,2013,2020,,sol de graves,,
542,,6,,M4,36,Loire,St-Nicolas de Bourgueil,Domaine Yannick Amirault,"""Les Malgagnes""",2008,20100306,au Domaine,6,6.0,,36,,2013,2020,,,,
543,B doux,6,,B2,72,Bordeaux,Sauternes,Château Doisy Daëne,,2009,20100510,Château Internet,6,12.0,,72,,,,2040,acheté en Primeur,,
546,,6,,A3,164,Bordeaux,Pauillac,Château Pontet-Canet,,2009,20100616,Château Internet,6,27.3,,164,,,,2040,acheté en Primeur,,
549,,5,,A3,53,Bordeaux,Pessac-Léognan,Château de Fieuzal,,2009,20100618,Château Internet,6,10.7,,64,,,,2040,acheté en Primeur. First bue le 1/8/20 avec François. Correct mais j'attendais plus.,,
548,,6,,J4,180,Bordeaux,Saint-Emilion,Château Pavie-Macquin,,2009,20100618,Château Internet,6,30.0,,180,,,,2040,acheté en Primeur,,
563,B,2,,D10,12,Alsace,Alsace,Domaine Dirler-Codé,Gewurztraminer Kessler,2008,20110330,1jour1vin,2,6.2,,12,,,2020,,ouvrir 1/2 h avant. Navarin aux épices,,
561,B,0,,,0,Alsace,Alsace,Domaine Albert Mann,Gewurztraminer Furstentum Vieilles vignes,2009,20110330,1jour1vin,2,7.3,,15,,,2018,,ouvrir 1h avant. Saumon grillé gingembre,,
562,B doux,1,,D10,6,Alsace,Alsace,Domaine Dirler-Codé,Pinot Gris Kessler demi-sec,2008,20110330,1jour1vin,2,5.5,,11,,,2018,,ouvrir 1/2 h avant. Cuisine exotique,,
579,,3,2,S4,15,Bordeaux,Médoc,Château Fleur La Mothe,,2010,20110703,au Domaine,6,4.8,,29,2018,2018,2022,2025,2Mg donnés à François,,
582,,2,,L3,14,Bordeaux,Moulis,Château Chasse-Spleen,,2009,20110926,Super U,3,6.8,,21,2018,,,2030,,,
584,,1,,T4,13,Rhône,Saint-Joseph,Domaine J.L Chaves,,2007,20110926,Super U,1,13.3,,13,,,,,FAV Super U Vaucresson,,
575,B,2,,D11,39,Alsace,Alsace,Domaine Zindt Humbrecht,Riesling Clos St-Urbain Rangen de Thann,2008,20111106,1jour1vin,2,19.7,,39,,,,2033+,ouvrir 1h avant,,
576,B,2,,D10,33,Alsace,Alsace,Domaine Zindt Humbrecht,Pinot Gris Clos St-Urbain Rangen de Thann,2008,20111106,1jour1vin,2,16.3,,33,,,,2029+,ouvrir 1h avant,,
577,B,2,,D3,33,Alsace,Alsace,Domaine Zindt Humbrecht,Riesling Clos Windsbulh,2009,20111106,1jour1vin,2,16.3,,33,,,,2035+,ouvrir 1h avant,,
587,,2,,T3,23,Bourgogne,Corton,Domaine Jacob,,2010,20111126,au Domaine,2,11.7,,23,,,,,Caves particulièrs,,
586,B,2,,T3,28,Bourgogne,Corton Charlemagne,Domaine Jacob,,2010,20111126,au Domaine,2,14.0,,28,,,,,Caves particulièrs,,
585,,1,,T4,8,Bourgogne,Volnay,Domaine Christophe Vaudoisey,"1er cru ""Clos des Chênes""",2005,20111126,au Domaine,2,7.7,,15,,,,,Caves particulièrs,,
597,B,2,,D6,10,Alsace,Alsace,Domaine Albert Boxler , Gewurztraminer Réserve,2009,20120222,au Domaine,3,5.0,,15,2015,2015,2017,2020,Foie gras,,
600,B,1,,D6,11,Alsace,Alsace,Domaine Albert Boxler ,Riesling Grand cru Brand K,2010,20120222,au Domaine,3,10.7,,32,2017,2017,2022,2025,"poissons fins (sole, turbo, lotte, St-Jacques",,
601,B,2,,D7,19,Alsace,Alsace,Domaine Albert Boxler ,Pinot Gris Grand cru Brand S,2010,20120222,au Domaine,3,9.3,,28,2015,2015,2016,2016,"cuisine épicée et exotique (lait de coco, curry,coriandre)",,
599,B,1,,D6,9,Alsace,Alsace,Domaine Albert Boxler ,Riesling Grand cru Brand,2010,20120222,au Domaine,3,9.3,,28,2017,2017,2022,2025,"poissons fins (sole, turbo, lotte, St-Jacques). 1b bue en Bretagne le 23 août 2021. Légèrement effervescente à l'ouverture mais de grande classe. &b bue 22/01/22 anniv Vincent. Couleur très soutenue. Très  agréable. A boire.",,
602,B,3,,D7,28,Alsace,Alsace,Domaine Albert Boxler ,Pinot Gris Grand cru Sommerberg W,2010,20120222,au Domaine,3,9.3,,28,2015,2015,2016,2016,"cuisine épicée et exotique (lait de coco, curry,coriandre)",,
598,B,4,,D4,37,Alsace,Alsace,Domaine Albert Boxler ,Riesling Grand cru Sommerberg,2010,20120222,au Domaine,3,9.3,,28,2017,2017,2022,2025,"poissons fins (sole, turbo, lotte, St-Jacques",,
793.1,,2,2,J5,16,Loire,Chinon,Domaine Bernard Baudry,"""Les Grézeaux""",2009,20120501,au Domaine,2,8.0,,16,,,,,Offert par Sophie et Henri lors des sixties,,
603,,6,,T2,23,Loire,Chinon,Domaine Bernard Baudry,"""Clos Guillot""",2010,20120615,au Domaine,6,3.8,,23,,2025,2025,,,,
610,,1,,T4,10,Bourgogne,Corton,Domaine Virginie Pillet,Grand cru,2009,20120909,Carrefour,1,10.0,,10,,,,,,,
609,,1,,T5,8,Bourgogne,Nuits-Saint-Georges,Domaine Frédéric Magnien,Cœur de Roches,2010,20120909,Carrefour,1,7.6,,8,,,,,,,
612,B,1,,D18,5,Jura,Château Chalon,Domaine Marcel Cabelier,,2005,20120909,Carrefour,1,5.3,,5,,,,,,,
605,,5,,G5,10,Languedoc,Saint Chinian,Roquebrun,Terrasse de Maynard,2014,20120909,Carrefour,2,2.1,,4,,,,,FAV,,
608,,1,,G12,6,Roussillon,Rivesaltes ,Château Maria Jonquères,Haute Coutume ambré,1976,20120909,Carrefour,1,5.7,,6,2013,,,,FAV,,
620,,3,,T4,21,Bourgogne,Aloxe-Corton,Domaine Escofier,"""Les Valozières""",2010,20120915,Auchan,3,7.1,,21,,,,,,,
619,,2,,T5,32,Bourgogne,Clos de Vougeot,Domaine Bertagna,1er cru Clos de la Perrière,2009,20120915,Auchan,2,16.0,,32,,,,,,,
618,,0,,,0,Bourgogne,Pommard,Domaine Escofier,"""Lambots""",2009,20120915,Auchan,1,8.0,,8,,,,,Bu le 6/9/21 avec les amis. Honnête mais moins savoureux que Lejeune 2005,,
617,,3,,T5,40,Bourgogne,Vosne-Romanée,Domaine Anne-François Gros,"""Maizières""",2010,20120915,Auchan,3,13.3,,40,,,,,,,
625,,1,,M5,19,Bourgogne,Chambolle-Musigny,Domaine Michel Magnien,"1er cru ""Sentier""",2010,20121121,au Domaine,1,19.0,,19,,2020,2025,,Caves particulières,,
626,,1,,M5,16,Bourgogne,Morey-Saint-Denis,Domaine Michel Magnien,"1er cru ""Chaffots""",2010,20121121,au Domaine,1,16.3,,16,,2020,2025,,Caves particulières,,
627,,1,,M5,15,Bourgogne,Morey-Saint-Denis,Domaine Michel Magnien,"1er cru ""Millandes""",2010,20121121,au Domaine,1,14.7,,15,,2020,2025,,Caves particulières,,
629,B,2,,T3,68,Bourgogne,Corton-Charlemagne Grand cru,Domaine Louis Jadot,,2009,20121126,1jour1vin,3,34.0,,102,,2015,2025,2040,"ouvrir 1 h avant. Un b bue le 20201205 avec François sur homard et, ormeaux et coquilles. Remarquable.",,
628,,4,,T2,13,Rhône,Rasteau,Domaine de la la Collière,,2010,20121126,1jour1vin,6,3.2,,19,,2012,2012,2020,ouvrir 1 h avant,,
631,B,2,,D11,44,Alsace,Alsace,Domaine Zindt Humbrecht,"Riesling  ""Clos Saint Urbain Rangen de Thann""",2010,20130120,1jour1vin,2,21.9,228.0,44,,,,2035+,,,
632,B,2,,D3,38,Alsace,Alsace,Domaine Zindt Humbrecht,"Riesling ""Clos Windsbuhl""",2010,20130120,1jour1vin,2,19.0,228.0,38,,,,2030+,,,
630,B doux,2,,D11,44,Alsace,Alsace,Domaine Zindt Humbrecht,"Pinot gris  ""Clos Saint Urbain Rangen de Thann""",2010,20130120,1jour1vin,2,21.9,228.0,44,,,,2030+,,,
634,B,1,,D16,8,Jura,Château Chalon,Domaine Marie et Denis Chevassu,"""Grange Bernard""",2005,20130302,Sarah,1,8.3,,8,,,,,"offert par Sarah, Illisible sur étiquette",,
636,,1,,M5,23,Rhône,Côtes Rôties,Domaine Guigal,Château d'Ampuis ,2009,20130917,1jour1vin,1,23.3,,23,,2020,2030,,,,
638,,2,,T3,24,Bourgogne,Corton,Domaine Jacob,,2011,20140328,au Domaine,2,12.1,,24,,2018?,2025?,2027?,,,
,,1,,M2,0,Rhône,Beaume de Venise,Domaine de la Colline Saint  Jean,,2007,20140501,au Domaine,1,0.0,,0,,,,,,,
,,6,,M9,0,Rhône,Cairanne,Domaine de l'Oratoire Saint Martin,,2014,20140501,au Domaine,6,0.0,,0,,,,,,,
,,1,,M2,0,Rhône,Gigondas,Domaine de la Colline Saint  Jean,,2007,20140501,au Domaine,1,0.0,,0,,,,,,,
,,1,,M2,0,Rhône,Vacqueras,Domaine de la Colline Saint  Jean,,2007,20140501,au Domaine,1,0.0,,0,,,,,,,
936,,1,,Bo2,5,Rhône,Gigondas,Domaine Brusset,Les secrets de Montmirail,2012,20140514,au Domaine,1,5.0,,5,2014,2015,2023,2025,acheté avec Club vin Montmirail,,
935,,4,,Bo2,40,Rhône,Gigondas,Domaine Santa Duc,Prestige des Hautes Garrigues,2011,20140514,au Domaine,4,10.0,,40,2014,2015,2023,2025,acheté avec Club vin Montmirail,,
642,,0,,Bo5,0,Bourgogne,Clos de Vougeot,Domaine Henri Rebourseau,Grand cru,1996,20140906,Auchan,1,26.3,,26,,2010,2017?,2018,1b bue club vin 05022022. Très appéciée. Lui donnaient 10ans au lieu de 26.,,
641,B,1,,Bo5,12,Bourgogne,Meursault ,Domaine Bernard-Bonin,Clos du Cromin,2012,20140906,Auchan,1,11.6,,12,,?,?,?,FAV,,
639,B,1,,Bo3,9,Provence,Palette,Château Simone ,,2008,20140906,Auchan,1,8.6,,9,,?,?,?,FAV,,
643,,1,,B1,6,Rhône,Chatetauneuf-du-Pape,Domaine Usseglio&Fils,"cuvée ""Les Amandiers""",2013,20140906,Auchan,1,6.3,,6,,2020,2030,2032,FAV,,
645,B,5,,D5,45,Alsace,Alsace ,Domaine Marcel Deiss,Langenberg,2011,20141104,La Vignery,4,9.0,,36,,?,?,?,,,
646,,2,,G14,37,Roussillon,Rivesaltes ,Sainte Barbe,,1952,20150204,Idealwine,2,18.7,,37,,?,?,?,,,
650,,2,,T3,25,Bourgogne,Corton,Domaine Jacob,,2013,20150327,au Domaine,2,12.6,,25,,2020,2025,2027,caves particulières,,
649,B,2,,T3,33,Bourgogne,Corton-Charlemagne ,Domaine Jacob,,2013,20150327,au Domaine,2,16.6,,33,,2023,2023,2029,caves particulières,,
651,,1,,K2,4,Jura,Arbois,Domaine Ligier Père&fils,Cuvée des poètes,2012,20150327,au Domaine,1,3.8,,4,,,,,caves particulières,,
652,,2,,G3,6,Jura,Arbois trousseau,Domaine Ligier Père&fils,Cuvée des poètes,2011,20150327,au Domaine,3,3.2,,10,,2019,2019,2021,caves particulières,,
654,B,1,,D18,11,Jura,Vin jaune,Château d'Arlay,,2006,20150327,au Domaine,1,11.0,,11,,,,2030,caves particulières,,
656,B,1,,D18,8,Jura,Vin jaune,Château de l'Etoile,,2007,20150327,au Domaine,1,8.3,,8,,,,,caves particulières,,
653,B,0,,0,0,Jura,Vin jaune,Domaine Ligier Père&fils,Cuvée des poètes,2008,20150327,au Domaine,1,9.7,,10,,,,2030,caves particulières. 1b bue le 16 oct 2021 avec beaucoup de plaisir,,
658,,2,,M3,13,Loire,St-Nicolas de Bourgeuil,Domaine Yannick Amirault,Les Malgagnes,2012,20150406,1jour1vin,4,6.7,,27,,2015,2015,2022,1b bue le 16 oct 2021 avec beaucoup de plaisir,,
657,B,3,,B1,50,Loire,Savennières,Domaine Coulée de Serrant,,2013,20150406,1jour1vin,4,16.6,,67,,2015,2025,2028,voir fiche du 8 mars 2016(?) 1b bue club vin 05022022. attention au dépôt. Très appréciée sur st jacques aux topinambours. Encore du potentiel?,,
659,,2,,J3,22,Bordeaux,Saint-Emilion,Château La Marzelle,,2012,20150617,Thuvenin SAS,2,10.8,,22,,2020,2027,2030,dégustation RVF Palais Brognard,,
660,,1,,J3,11,Bordeaux,Saint-Emilion,Château Sansonnet,,2011,20150617,Thuvenin SAS,2,10.8,,22,,2018,2022,2030,dégustation RVF Palais Brognard. 1b bue avec François 061121. Plaisir. Absence de cabernet -sauvignon.,,
941,,1,,Bo4,3,Rhône,IGP Côteaux de l'Ardèche,Château Les Amoureuses,Syrah,2013,20150701,au Domaine,3,2.5,,8,2015,2015,2020,2021,,,
664,,1,,T1,14,Provence,Bandol,Domaine Tempier,La Tourtine,2013,20150817,SAS Peyraud,1,14.0,,14,,2021,2021,2033,85% mouverdre +cinsault+grenache,,
663,,2,,T1,18,Provence,Bandol,Domaine Tempier,Rouge,2013,20150817,SAS Peyraud,2,9.0,,18,,2019,2019,2030,75% mouverdre,,
665,B,0,,T2,0,Loire,Sancerre,Domaine Pascal Cotat,Grande Côte,2011,20150905,Le Chai Privé,3,7.7,,23,,2015,2015,2022,1b bue le 26 déc2020 avec F et V,,
667,,2,,L3,9,Bordeaux,Graves,Château Chantegrive,,2010,20150908,Intermarché,6,4.5,,27,,,2018,2025,,,
666,,1,2,J5,13,Bordeaux,Pessac-Léognan,Chateau La Louvière,,2012,20150908,Intermarché,1,13.3,,13,,2017,2020,2027,,,
668,,2,,B3,17,Bordeaux,Saint-Estèphe,Château Haut-Marbuzet,,2012,20150908,Intermarché,2,8.7,,17,,2022,2025,2030,,,
673,B,5,,Bo4,32,Jura,Côtes du Jura savagnin,Domaine Jean Macle,,2009,20151112,,6,6.3,,38,,2020,2023,2030+,,,
675,,2,,T2,13,Bourgogne,Rully 1er cru,Domaine Jacqueson,Les Cloux,2014,20151121,Carré des vins,2,6.3,,13,,2017,2025,2027+,,,
677,,2,,T4,17,Bourgogne,Volnay,Domaine Christophe Vaudoisey,"""Clos des Chênes"" 1er cru",2013,20151125,salon des vignerons,2,8.7,,17,,2023,2023,2029,,,
680,B,1,,K1,4,Jura,Arbois Chardonnay,Domaine Jacques Tissot,"""les carrés sous Curon""",2013,20151126,au Domaine,6,4.2,,25,,2015,2015,2018,caves particulières,,
681,,2,2,Bo5,23,Languedoc,Terrasse du Larzac,Les Vignes oubliées,,2014,20160214,Carré des vins,2,11.3,,23,,2018,2026,2028,,,
682,B,2,,D9,23,Alsace,Alsace ,Domaine Josmeyer,,2013,20160225,1jour1vin,2,11.7,,23,,2016,,2029,,,
684,B,6,,T4,102,Bourgogne,Corton-Charlemagne ,Domaine Jacob,,2014,20160318,au Domaine,4,16.9,,68,,2021,2024,2030,caves particulières,,
685,B,1,,T3,6,Bourgogne,Ladoix blanc,Domaine Jacob,,2014,20160318,au Domaine,2,5.8,,12,,2017,2017,2020,caves particulières,,
687,B,1,,T3,25,Bourgogne,Meursault 1er cru,Domaine Rémi Jobart,Le Poruzot Dessus,2014,20160417,Carré des vins,1,25.0,,25,,2019,2027,2030,,,
688,,1,,T3,33,Bourgogne,Vosne Romanée 1er cru,Domaine Gros Frère et Soeur,les Chaumes,2014,20160417,Carré des vins,1,33.0,,33,,2018,2025,2030,,,
944,B,1,,Bo5,3,Bordeaux,Graves,Château de Camarset,,2013,20160506,au domaine,1,3.3,,3,2014,2015,2018,2020,,,
691,,1,,J4,19,Bordeaux,Pomerol,Château Beauregard,,2010,20160506,au Dme,1,19.0,,19,,2015,2025,2030,visite du club à Saint Emilion,,
690,,2,2,Bo4,77,Bordeaux,Pomerol,Château Beauregard,,2010,20160506,au Dme,2,38.3,,77,,2015,2025,2030,visite du club à Saint Emilion,,
692,,1,,J4,16,Bordeaux,Saint-Emilion,Château Larmande,,2010,20160506,au Dme,1,15.7,,16,,2015,2025,2030,visite du club à Saint Emilion,,
693,,1,,J4,10,Bordeaux,Saint-Emilion,Château Larmande,,2012,20160506,au Dme,1,10.0,,10,,2015,2025,2030,visite du club à Saint Emilion,,
689,,2,,J4,33,Bordeaux,Saint-Emilion,Virginie de Valandraud,,2010,20160506,au Dme,2,16.5,,33,,2015,2025,2030,visite du club à Saint Emilion,,
694,B,3,,T2,29,Loire,Sancerre,Domaine Gérard Boulay,La Côte,2014,20160517,Carré des vins,3,9.7,,29,,2020,2030,2034,,,
700,,1,2,J5,42,Bordeaux,Margaux,Château Brane-Cantenac,,2015,20160604,Chateauprimeur,1,42.0,,42,,2025,2035,2040,,,
699,B doux,1,2,A2,32,Bordeaux,Sauternes,Château Lafaurie-Peyraguey,,2015,20160604,Chateauprimeur,1,32.0,,32,,2025,2035,2040,,,
697,,1,2,J5,68,Bordeaux,Pauillac,Château Pontet-Canet,,2015,20160604,Chateauprimeur,1,68.0,,68,,2025,2035,2040,,,
698,,1,2,J5,54,Bordeaux,Pessac-Léognan,Château Pape Clément,,2015,20160604,Chateauprimeur,1,54.1,,54,,2025,2035,2040,,,
698.1,,3,2,Bo3,126,Bordeaux,Saint-Estèphe,Château Calon Ségur,,2015,20160604,Château Internet,3,42.0,,126,,2025,2035,2040,Primeur,,
696,,1,2,B5,42,Bordeaux,Saint-Julien,Château Gruaud Larose,,2015,20160604,Chateauprimeur,1,42.4,,42,,2025,2035,2040,,,
695,,1,2,J5,52,Bordeaux,Saint-Julien,Château Léoville Poyferré,,2015,20160604,Chateauprimeur,1,51.6,,52,,2025,2035,2040,,,
701,,1,2,J5,49,Bordeaux,Margaux,Château Rauzan-Ségla,,2015,20160612,Chateauprimeur,1,48.8,,49,,2025,2035,2040,,,
702,,1,2,J5,62,Bordeaux,Saint-Emilion,Clos Fourtet,,2015,20160612,Chateauprimeur,1,62.0,,62,,2025,2035,2040,,,
703,,3,2,Bo2,117,Bordeaux,Saint-Emilion,Château La Gaffelière,,2015,20160613,Château Internet,3,38.9,,117,,2025,2035,2040,,,
704,,1,2,B5,95,Bordeaux,Saint-Estèphe,Château Montrose,,2015,20160614,Chateauprimeur,1,95.2,,95,,2025,2035,2040,,,
707,,1,,T5,40,Bourgogne,Clos St-Denis Grand cru,Domaine Bertagna,,2014,20160621,Carré des vins,1,39.7,,40,,2020,2024,2035+,monopole,,
705,,1,,T5,17,Bourgogne,Vosne-Romanée 1er cru,Domaine Bertagna,Les Beaux Monts,2014,20160621,Carré des vins,1,17.2,,17,,2020,2024,2030,monopole,,
706,,1,,T5,21,Bourgogne,Vougeot 1er cru,Domaine Bertagna,Clos de la Perrière,2014,20160621,Carré des vins,1,20.7,,21,,2020,2024,2030,monopole,,
709,,1,,G3,6,Jura,Arbois trousseau,Domaine Stéphane Tissot,Singulier,2014,20160809,Carré des vins,2,6.3,,13,,2016,2022,2028, dernière b bue avec Vincent et Sarah le 01/02/2021. Encore très buvable.,,
708,B,3,,D17,59,Jura,Château-Chalon,Domaine Stéphane Tissot,,2008,20160809,Carré des vins,3,19.7,,59,,2028,2048,2060,,,
710,B,3,,G2,25,Jura,Arbois Chardonnay,Domaine Stéphane Tissot,Les Bruyères,2014,20160809,Carré des vins,3,8.2,,25,,2016,2024,2028+,,,
712,,6,2,S4,31,Bordeaux,Médoc,Château Fleur La Mothe,,2015,20160822,au Domaine,6,5.2,,31,,2020,2025,2030,,,
713,,2,,M5,77,Bourgogne,Clos de Vougeot,Château de la Tour de Clos Vougeot,,2014,20161002,Carré des vins,2,38.3,,77,,2021,2036,2040+,,,
714,B,2,,M1,22,Rhône,Saint-Joseph,Domaine Bernard Gripa,Le Berceau    Blanc,2015,20161025,Carré des vins,3,11.0,,33,,2018,2025,2029,,,
715,,1,,S3,14,Languedoc,Terrasse du Larzac,Mas Jullien Rouge ,,2010,20161027,Carré des vins,3,14.0,,42,,2020,2030,2040,,,
717,,1,,T3,19,Bourgogne,Chambolle-Musigny,Domaine Bruno Clair,Les Véroilles,2014,20161101,Carré des vins,1,19.0,,19,,2020,2032,2036+,,,
716,,1,,T3,19,Bourgogne,Morey-St-Denis,Domaine Bruno Clair,En La Rue De Vergy,2014,20161101,Carré des vins,1,19.0,,19,,2020,2032,2035+,,,
718,,1,,T3,24,Bourgogne,Vosnes-Romanée,Domaine Bruno Clair,Les Champs Perdrix,2014,20161101,Carré des vins,1,24.0,,24,,2022,2034,2038+,,,
719,B,5,,T4,55,Loire,Sancerre,Domaine François Cotat,Les Monts Damnés,2015,20161110,Carré des vins,2,11.0,,22,,2020,2030,2033,,,
720,B,2,,Bo4,40,Jura,Château-Chalon,Domaine Stéphane Tissot,,2009,20161121,1jour1vin,2,20.2,,40,,2025,2045,2050,,,
721,B,2,,D17,35,Jura,Vin jaune,Domaine Stéphane Tissot,La  Vasée,2008,20161126,Carré des vins,2,17.3,,35,,2018,2030,2050,,,
722,B,1,,G2,9,Jura,Côtes du Jura chardonnay,Domaine Stéphane Tissot,Sursis,2015,20161126,Carré des vins,1,9.0,,9,,2018,2025,2027+,,,
723,B,2,,T3,37,Bourgogne,Corton-Charlemagne ,Domaine Jacob,,2015,20161127,au Domaine,3,18.3,,55,,2022,2024,2030,caves particulières,,
725,,3,,M4,21,Loire,Chinon,Domaine Philippe Alliet ,Coteau de Noiré,2014,20161207,1jour1vin,3,7.0,,21,,2020,2030,2032,,,
724,B,2,,B1,35,Loire ,Savennières,Domaine Coulée de Serrant,,2014,20161207,1jour1vin,2,17.3,,35,,2020,2030,2035,,,
726,,1,,B1,17,Rhône,Chateauneuf-du-Pape,Château de Beaucastel,,2014,20161207,1jour1vin,1,17.3,,17,,202,2030,2032,,,
779.1,,1,,M5,0,Bourgogne,Chambolle-Musigny,Domaine Georges Roumier,,2014,20170101,Catherine,,0.0,,,,,,,"Cadeau exceptionnel de Catherine Ronssin en 2017, Rareté",,
729,B,1,,D4,20,Alsace,Alsace ,Domaine Marcel Deiss,Altenberg de Bergheim,2012,20170129,Carré des vins,1,19.7,,20,,2018,2027,2029,,,
730,B,1,,D4,22,Alsace  ,Alsace ,Domaine Marcel Deiss,Schoenenbourg,2012,20170129,Carré des vins,1,21.7,,22,,2018,2026,2030,,,
731,,1,,G14,26,Roussillon,Banyuls,Domaine Pietri Geraud,,1951,20170130,Idealwine,1,26.3,,26,,,,,Pour Annik,,
732,,1,,G12,33,Roussillon,Rivesaltes ,La Sobilane,,1947,20170130,Idealwine,2,33.0,,66,,,,,Pour Nane. Une bouteille bu anniversaire 70 ans Nane soirée goguette,,
735,,1,,S3,4,Languedoc,Minervois,Domaine Anne gros et Jean-Paul Tollot,Les Combettes,2015,20170204,Carré des vins,1,4.3,,4,,2017,2022,2025,,,
736,,1,,S3,5,Languedoc,Minervois,Domaine Anne gros et Jean-Paul Tollot,Les Fontanilles,2015,20170204,Carré des vins,1,5.3,,5,,2017,2025,2026,,,
737,,1,,S3,7,Languedoc,Minervois,Domaine Anne gros et Jean-Paul Tollot,La Ciaude,2015,20170204,Carré des vins,1,7.0,,7,,2018,2025,2027+,,,
739,,2,,B1,18,Bourgogne,Bourgogne rouge,Domaine de Villaine,La Digoine,2015,20170209,Carré des vins,2,9.0,,18,,2019,2027,2030+,,,
738,B,1,,B1,9,Bourgogne,Rully,Domaine de Villaine,Saint Jacques,2015,20170209,Carré des vins,2,8.7,,17,,2017,2025,2029,,,
740,,2,,B1,19,Bourgogne,Mercurey,Domaine de Villaine,Les Montots,2015,20170209,Carré des vins,2,9.7,,19,,2021,2027,2030+,,,
741,B,2,,A1,25,Bourgogne,Chablis 1er cru,Domaine Jean-Paul & Benoit Droin,Montée de Tonnerre,2015,20170404,Carré des vins,2,12.3,,25,,2019,2019-2027,2029+,,,
743,B,1,,A1,20,Bourgogne,Chablis Grand Cru,Domaine Jean-Paul & Benoit Droin,Les Grenouilles,2015,20170404,Carré des vins,1,20.0,,20,,2020,2027,2030+,,,
744,B,1,,A1,20,Bourgogne,Chablis Grand Cru,Domaine Jean-Paul & Benoit Droin,Les Clos,2015,20170404,Carré des vins,1,20.0,,20,,2020,2027,2030+,,,
742,B,2,,A1,33,Bourgogne,Chablis Grand Cru,Domaine Jean-Paul & Benoit Droin,Valmur,2015,20170404,Carré des vins,2,16.7,,33,,2018,2027,2030,,,
747,,1,,B1,23,Languedoc,Coteaux du Languedoc,Domaine Peyre Rose,Clos des Cistes,2007,20170415,Carré des vins,1,22.7,,23,,2021,2027,2031+,,,
748,,1,,B1,23,Languedoc,Coteaux du Languedoc,Domaine Peyre Rose,Syrah Leone,2007,20170415,Carré des vins,1,22.7,,23,,2021,2027,2031+,,,
749,,1,,B1,23,Languedoc,Coteaux du Languedoc,Domaine Peyre Rose,Marlene N°3,2007,20170415,Carré des vins,1,22.7,,23,,2021,2027,2031+,,,
750,,5,,Bo5,38,Bourgogne,Hautes-Côtes-de-Nuits,Domaine Gros Frère et Sœur ,,2015,20170506,Carré des vins,6,7.5,,45,,2018,2022,2025,,,
751,,0,,Bo5,0,Bourgogne,Vosnes-Romanée,Domaine Gros Frère et Sœur ,,2015,20170506,Carré des vins,1,20.0,,20,,2020,2025,2030,1b bue club vin 05022022. Bon mais j'attendais plus,,
754,,1,,M5,28,Bourgogne,Corton Bressandes Grand Cru,Domaine de la Pousse d'Or,,2015,20170525,Carré des vins,1,28.3,,28,,2029,2032,2039,,,
753,,1,,M5,28,Bourgogne,Corton Grand Cru,Domaine de la Pousse d'Or,Clos du Roi,2015,20170525,Carré des vins,1,28.3,,28,,2023,2033,2036+,,,
752,,1,,M5,24,Bourgogne,Volnay 1er Cru,Domaine de la Pousse d'Or,Les Caillerets cuvée Amphore,2015,20170525,Carré des vins,1,24.2,,24,,2021,2031,2035,,,
757,B doux,12,0.5,A2,79,Bordeaux,Barsac,Château Coutet,,2016,20170610,Duclot,12,6.6,,79,,2025,2035,2040,primeur livraison prévue 1er semestre 2019,,
758,,3,2,A3,89,Bordeaux,Pessac-Léognan,Château De Fieuzal,,2016,20170610,Duclot,3,29.7,,89,,2025,2040,2045,primeur livraison prévue 1er semestre 2019,,
